Country Name,Country Code,Indicator Name,2014,2015,2016,2017,2018,2019,2020
South Asia,SAS,"Literacy rate, adult total (% of people ages 15 and above)",68.73478699,69.65734863,70.9991684,71.69515228,72.24388123,72.95144653,
Saudi Arabia,SAU,"Literacy rate, adult total (% of people ages 15 and above)",,,,95.32862854,,,
Sudan,SDN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,60.6971817,,
Senegal,SEN,"Literacy rate, adult total (% of people ages 15 and above)",,,,51.90042114,,,
Singapore,SGP,"Literacy rate, adult total (% of people ages 15 and above)",96.71669006,96.82549286,97.04956055,97.2022171,97.34485626,,
Solomon Islands,SLB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Sierra Leone,SLE,"Literacy rate, adult total (% of people ages 15 and above)",,,,,43.20632935,,
El Salvador,SLV,"Literacy rate, adult total (% of people ages 15 and above)",,87.96984863,88.14176941,88.48271179,89.00859833,,
San Marino,SMR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,99.91642761,,
Somalia,SOM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Serbia,SRB,"Literacy rate, adult total (% of people ages 15 and above)",,,98.84150696,,,,
Sub-Saharan Africa (excluding high income),SSA,"Literacy rate, adult total (% of people ages 15 and above)",62.89559174,63.49285889,64.20291138,64.46804047,64.99101257,65.42196655,
South Sudan,SSD,"Literacy rate, adult total (% of people ages 15 and above)",,,,,34.52275848,,
Sub-Saharan Africa,SSF,"Literacy rate, adult total (% of people ages 15 and above)",62.95409012,63.54935837,64.25765991,64.51748657,65.03897858,65.46861267,
Small states,SST,"Literacy rate, adult total (% of people ages 15 and above)",85.36804199,86.4052124,86.35237122,86.51476288,86.69132233,86.90550232,
Sao Tome and Principe,STP,"Literacy rate, adult total (% of people ages 15 and above)",,,,,92.81664276,,
Suriname,SUR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,94.38327026,,
Slovak Republic,SVK,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Slovenia,SVN,"Literacy rate, adult total (% of people ages 15 and above)",99.69999695,,,,,,
Sweden,SWE,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Eswatini,SWZ,"Literacy rate, adult total (% of people ages 15 and above)",,,,,88.41938019,,
Sint Maarten (Dutch part),SXM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Seychelles,SYC,"Literacy rate, adult total (% of people ages 15 and above)",,,,,95.8677063,,
Syrian Arab Republic,SYR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Turks and Caicos Islands,TCA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Chad,TCD,"Literacy rate, adult total (% of people ages 15 and above)",,26.00299072,22.31155014,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,"Literacy rate, adult total (% of people ages 15 and above)",95.13671112,95.35286713,95.48483276,95.6769104,95.82859802,95.97810364,
Europe & Central Asia (IDA & IBRD countries),TEC,"Literacy rate, adult total (% of people ages 15 and above)",98.83760071,98.86424255,98.96904755,98.948349,98.9805069,99.01315308,
Togo,TGO,"Literacy rate, adult total (% of people ages 15 and above)",,63.74562073,,,,,
